item_id,region,week,on_hand_units,in_transit_units
SKU-A,East,2025-01-06,300,100
SKU-A,East,2025-01-13,300,100
SKU-A,East,2025-01-20,300,100
SKU-A,East,2025-01-27,300,100
SKU-A,East,2025-02-03,300,100
SKU-A,East,2025-02-10,300,100
SKU-A,East,2025-02-17,300,100
SKU-A,West,2025-01-06,270,90
SKU-A,West,2025-01-13,270,90
SKU-A,West,2025-01-20,270,90
SKU-A,West,2025-01-27,270,90
SKU-A,West,2025-02-03,270,90
SKU-A,West,2025-02-10,270,90
SKU-A,West,2025-02-17,270,90
SKU-B,East,2025-01-06,240,80
SKU-B,East,2025-01-13,240,80
SKU-B,East,2025-01-20,240,80
SKU-B,East,2025-01-27,240,80
SKU-B,East,2025-02-03,240,80
SKU-B,East,2025-02-10,240,80
SKU-B,East,2025-02-17,240,80
SKU-B,East,2025-02-24,240,80
SKU-B,West,2025-01-06,210,70
SKU-B,West,2025-01-13,210,70
SKU-B,West,2025-01-20,210,70
SKU-B,West,2025-01-27,210,70
SKU-B,West,2025-02-03,210,70
SKU-B,West,2025-02-10,210,70
SKU-B,West,2025-02-17,210,70
SKU-B,West,2025-02-24,210,70
SKU-C,East,2025-01-27,180,60
SKU-C,East,2025-02-03,180,60
SKU-C,East,2025-02-10,180,60
SKU-C,East,2025-02-17,180,60
SKU-C,East,2025-02-24,180,60
SKU-C,West,2025-01-27,165,55
SKU-C,West,2025-02-03,165,55
SKU-C,West,2025-02-10,165,55
SKU-C,West,2025-02-17,165,55
SKU-C,West,2025-02-24,165,55
