item_id,region,week,plan_units,plan_version_date
SKU-A,East,2025-01-06,100,2025-01-06
SKU-A,East,2025-01-13,101,2025-01-13
SKU-A,East,2025-01-20,102,2025-01-20
SKU-A,East,2025-01-27,100,2025-01-27
SKU-A,East,2025-02-03,101,2025-02-03
SKU-A,East,2025-02-10,102,2025-02-10
SKU-A,East,2025-02-17,100,2025-02-17
SKU-A,West,2025-01-06,90,2024-12-09
SKU-A,West,2025-01-13,91,2024-12-16
SKU-A,West,2025-01-20,92,2024-12-23
SKU-A,West,2025-01-27,90,2024-12-30
SKU-A,West,2025-02-03,91,2025-01-06
SKU-A,West,2025-02-10,92,2025-01-13
SKU-A,West,2025-02-17,90,2025-01-20
SKU-B,East,2025-01-06,80,2024-12-09
SKU-B,East,2025-01-13,81,2024-12-16
SKU-B,East,2025-01-20,82,2024-12-23
SKU-B,East,2025-01-27,80,2024-12-30
SKU-B,East,2025-02-03,81,2025-01-06
SKU-B,East,2025-02-10,82,2025-01-13
SKU-B,East,2025-02-17,80,2025-01-20
SKU-B,East,2025-02-24,81,2025-01-27
SKU-B,East,2025-03-03,82,2025-02-03
SKU-B,East,2025-03-10,80,2025-02-10
SKU-B,East,2025-03-17,81,2025-02-17
SKU-B,East,2025-03-24,82,2025-02-24
SKU-B,West,2025-01-06,70,2024-12-09
SKU-B,West,2025-01-13,71,2024-12-16
SKU-B,West,2025-01-20,72,2024-12-23
SKU-B,West,2025-01-27,70,2024-12-30
SKU-B,West,2025-02-03,71,2025-01-06
SKU-B,West,2025-02-10,72,2025-01-13
SKU-B,West,2025-02-17,70,2025-01-20
SKU-B,West,2025-02-24,71,2025-01-27
SKU-B,West,2025-03-03,72,2025-02-03
SKU-B,West,2025-03-10,70,2025-02-10
SKU-B,West,2025-03-17,71,2025-02-17
SKU-B,West,2025-03-24,72,2025-02-24
SKU-C,East,2025-01-27,60,2024-12-30
SKU-C,East,2025-02-03,61,2025-01-06
SKU-C,East,2025-02-10,62,2025-01-13
SKU-C,East,2025-02-17,60,2025-01-20
SKU-C,East,2025-02-24,61,2025-01-27
SKU-C,East,2025-03-03,62,2025-02-03
SKU-C,East,2025-03-10,60,2025-02-10
SKU-C,East,2025-03-17,61,2025-02-17
SKU-C,East,2025-03-24,62,2025-02-24
SKU-C,West,2025-01-27,55,2024-12-30
SKU-C,West,2025-02-03,56,2025-01-06
SKU-C,West,2025-02-10,57,2025-01-13
SKU-C,West,2025-02-17,55,2025-01-20
SKU-C,West,2025-02-24,56,2025-01-27
SKU-C,West,2025-03-03,57,2025-02-03
SKU-C,West,2025-03-10,55,2025-02-10
SKU-C,West,2025-03-17,56,2025-02-17
SKU-C,West,2025-03-24,57,2025-02-24
