item_id,region,week,promo_flag
SKU-A,East,2025-01-06,0
SKU-A,East,2025-01-13,0
SKU-A,East,2025-01-20,0
SKU-A,East,2025-01-27,0
SKU-A,East,2025-02-03,0
SKU-A,East,2025-02-10,0
SKU-A,East,2025-02-17,0
SKU-A,West,2025-01-06,0
SKU-A,West,2025-01-13,0
SKU-A,West,2025-01-20,0
SKU-A,West,2025-01-27,0
SKU-A,West,2025-02-03,0
SKU-A,West,2025-02-10,0
SKU-A,West,2025-02-17,0
SKU-B,East,2025-01-06,0
SKU-B,East,2025-01-13,0
SKU-B,East,2025-01-20,0
SKU-B,East,2025-01-27,0
SKU-B,East,2025-02-03,0
SKU-B,East,2025-02-10,5
SKU-B,East,2025-02-17,0
SKU-B,East,2025-02-24,0
SKU-B,East,2025-03-03,0
SKU-B,East,2025-03-10,0
SKU-B,East,2025-03-17,0
SKU-B,East,2025-03-24,0
SKU-B,West,2025-01-06,0
SKU-B,West,2025-01-13,0
SKU-B,West,2025-01-20,0
SKU-B,West,2025-01-27,0
SKU-B,West,2025-02-03,0
SKU-B,West,2025-02-10,0
SKU-B,West,2025-02-17,0
SKU-B,West,2025-02-24,0
SKU-B,West,2025-03-03,0
SKU-B,West,2025-03-10,0
SKU-B,West,2025-03-17,0
SKU-B,West,2025-03-24,0
SKU-C,East,2025-01-27,0
SKU-C,East,2025-02-03,0
SKU-C,East,2025-02-10,0
SKU-C,East,2025-02-17,0
SKU-C,East,2025-02-24,0
SKU-C,East,2025-03-03,0
SKU-C,East,2025-03-10,0
SKU-C,East,2025-03-17,0
SKU-C,East,2025-03-24,0
SKU-C,West,2025-01-27,0
SKU-C,West,2025-02-03,0
SKU-C,West,2025-02-10,0
SKU-C,West,2025-02-17,0
SKU-C,West,2025-02-24,0
SKU-C,West,2025-03-03,0
SKU-C,West,2025-03-10,0
SKU-C,West,2025-03-17,0
SKU-C,West,2025-03-24,0
