item_id,region,week,units_sold
SKU-1001,East,2025-01-06,1200
SKU-1001,East,2025-01-13,1250
SKU-1001,East,2025-01-20,1236
SKU-1001,East,2025-01-27,1215
SKU-1001,East,2025-02-03,1274
SKU-1001,East,2025-02-10,1255
SKU-1001,East,2025-02-17,1363
SKU-1001,East,2025-02-24,1490
SKU-1001,East,2025-03-03,1356
SKU-1001,East,2025-03-10,1361
SKU-1001,East,2025-03-17,1469
SKU-1001,East,2025-03-24,1468
SKU-1001,East,2025-03-31,1454
SKU-1001,East,2025-04-07,1368
SKU-1001,East,2025-04-14,1448
SKU-1001,East,2025-04-21,1508
SKU-1001,East,2025-04-28,1326
SKU-1001,East,2025-05-05,1394
SKU-1001,East,2025-05-12,3016
SKU-1001,East,2025-05-19,2375
SKU-1001,East,2025-05-26,2348
SKU-1001,East,2025-06-02,2922
SKU-1001,East,2025-06-09,918
SKU-1001,East,2025-06-16,1029
SKU-1001,East,2025-06-23,1302
SKU-1001,East,2025-06-30,1290
SKU-1001,East,2025-07-07,1141
SKU-1001,East,2025-07-14,1196
SKU-1001,East,2025-07-21,1135
SKU-1001,East,2025-07-28,1125
SKU-1001,East,2025-08-04,1233
SKU-1001,East,2025-08-11,1082
SKU-1001,East,2025-08-18,1115
SKU-1001,East,2025-08-25,1158
SKU-1001,East,2025-09-01,1047
SKU-1001,East,2025-09-08,1065
SKU-1001,East,2025-09-15,1070
SKU-1001,East,2025-09-22,1060
SKU-1001,East,2025-09-29,976
SKU-1001,East,2025-10-06,1058
SKU-1001,East,2025-10-13,1143
SKU-1001,East,2025-10-20,965
SKU-1001,East,2025-10-27,1129
SKU-1001,East,2025-11-03,1095
SKU-1001,East,2025-11-10,1061
SKU-1001,East,2025-11-17,1257
SKU-1001,East,2025-11-24,1197
SKU-1001,East,2025-12-01,1084
SKU-1001,East,2025-12-08,1200
SKU-1001,East,2025-12-15,1265
SKU-1001,East,2025-12-22,1237
SKU-1001,East,2025-12-29,1334
SKU-1001,East,2026-01-05,1307
SKU-1001,East,2026-01-12,1397
SKU-1001,East,2026-01-19,3227
SKU-1001,East,2026-01-26,3133
SKU-1001,East,2026-02-02,2977
SKU-1001,East,2026-02-09,2874
SKU-1001,East,2026-02-16,1251
SKU-1001,East,2026-02-23,1288
SKU-1001,East,2026-03-02,1405
SKU-1001,East,2026-03-09,1470
SKU-1001,East,2026-03-16,1619
SKU-1001,East,2026-03-23,1382
SKU-1001,East,2026-03-30,1534
SKU-1001,East,2026-04-06,1572
SKU-1001,East,2026-04-13,1702
SKU-1001,East,2026-04-20,1645
SKU-1001,East,2026-04-27,1543
SKU-1001,East,2026-05-04,1529
SKU-1001,East,2026-05-11,1528
SKU-1001,East,2026-05-18,1676
SKU-1001,East,2026-05-25,1478
SKU-1001,East,2026-06-01,1469
SKU-1001,East,2026-06-08,1505
SKU-1001,East,2026-06-15,1438
SKU-1001,East,2026-06-22,1406
SKU-1001,East,2026-06-29,1303
SKU-1001,West,2025-01-06,896
SKU-1001,West,2025-01-13,926
SKU-1001,West,2025-01-20,926
SKU-1001,West,2025-01-27,1029
SKU-1001,West,2025-02-03,981
SKU-1001,West,2025-02-10,869
SKU-1001,West,2025-02-17,976
SKU-1001,West,2025-02-24,912
SKU-1001,West,2025-03-03,844
SKU-1001,West,2025-03-10,1027
SKU-1001,West,2025-03-17,1156
SKU-1001,West,2025-03-24,1081
SKU-1001,West,2025-03-31,1007
SKU-1001,West,2025-04-07,1026
SKU-1001,West,2025-04-14,1161
SKU-1001,West,2025-04-21,1096
SKU-1001,West,2025-04-28,1085
SKU-1001,West,2025-05-05,1072
SKU-1001,West,2025-05-12,1977
SKU-1001,West,2025-05-19,2140
SKU-1001,West,2025-05-26,2250
